"Time";"Consumption";"Grid consumption";"Grid backflow";"PV generation";"Battery charging";"Battery discharging"
"2022-03-24T02:00:00+01:00";31573.590079365076;31573.590079365076;0;0;0;0
"2022-03-24T02:30:00+01:00";31571.1738095238;31571.1738095238;0;0;0;0
"2022-03-24T03:00:00+01:00";30785.9090079365;30785.9090079365;0;0;0;0
"2022-03-24T03:30:00+01:00";31225.277380952382;31225.277380952382;0;0;0;0
"2022-03-24T04:00:00+01:00";32365.603888888894;32365.603888888894;0;0;0;0
"2022-03-24T04:30:00+01:00";31452.654087301584;31452.654087301584;0;0;0;0
"2022-03-24T05:00:00+01:00";31542.53317460318;31542.53317460318;0;0;0;0
"2022-03-24T05:30:00+01:00";32432.586587301583;32432.586587301583;0;0;0;0
"2022-03-24T06:00:00+01:00";31638.661658456487;31638.661658456487;0;0;0;0
"2022-03-24T06:30:00+01:00";32534.168968253965;32534.168968253965;0;0;0;0
"2022-03-24T07:00:00+01:00";33701.862301587294;33701.862301587294;0;0;0;0
"2022-03-24T07:30:00+01:00";29740.37694444444;29740.37694444444;0;0;0;0
"2022-03-24T08:00:00+01:00";27761.71496031747;27761.71496031747;0;0;0;0
"2022-03-24T08:30:00+01:00";26652.93742063492;26652.93742063492;0;0;0;0
"2022-03-24T09:00:00+01:00";59832.91605090312;56784.663998357966;0;0;0;2789.8155625615764
"2022-03-24T09:30:00+01:00";47619.0901984127;47619.0901984127;0;0;0;0
"2022-03-24T10:00:00+01:00";53372.74182539682;51875.441825396825;0;1497.3;0;6.230266666666667
"2022-03-24T10:30:00+01:00";66300.69083333334;53951.82821428571;0;12324.316666666664;0;11.13637
"2022-03-24T11:00:00+01:00";79301.72861111113;60097.86869047619;0;19003.08492063492;0;270.93515809523814
"2022-03-24T11:30:00+01:00";78983.8493253968;55713.84575396825;0;23269.886904761897;0;3.373950555555555
"2022-03-24T12:00:00+01:00";76582.50956486042;55248.49462233169;0;21296.135632183905;0;234.19187438423637
"2022-03-24T12:30:00+01:00";72200.82865079366;56802.58769841269;0;15216.104444444445;0;385.39421035714275
"2022-03-24T13:00:00+01:00";62474.17825396826;54556.70706349207;0;7917.471190476191;0;4.804865000000001
"2022-03-24T13:30:00+01:00";68753.44642857143;66482.12380952381;0;0;0;2261.467954365079
"2022-03-24T14:00:00+01:00";74528.71515873018;70689.09928571428;0;0;0;4330.522844920635
"2022-03-24T14:30:00+01:00";68879.83035714288;67185.24464285716;0;0;0;1983.0942191269844
"2022-03-24T15:00:00+01:00";60231.46161740557;59374.591995073875;0;0;0;733.9205688834156
"2022-03-24T15:30:00+01:00";63219.223968253966;60831.51404761905;0;2039.8527777777776;0;286.5662840079365
"2022-03-24T16:00:00+01:00";63638.39162698412;61663.211269841275;0;1822.5791666666667;0;196.66278793650793
"2022-03-24T16:30:00+01:00";61191.77563492064;59874.35896825397;0;1317.4166666666667;0;6.018339444444444
"2022-03-24T17:00:00+01:00";56184.02507936509;54736.47896825397;0;1447.5461111111113;0;4.259056666666667
"2022-03-24T17:30:00+01:00";54384.550287356324;54051.7131773399;0;300.1655172413793;0;20.88167471264368
"2022-03-24T18:00:00+01:00";32283.774958949096;32283.774958949096;0;0;0;0
"2022-03-24T18:30:00+01:00";29514.088333333333;29513.538333333334;0;0;0;0
"2022-03-24T19:00:00+01:00";29756.423055555562;29756.423055555562;0;0;0;0
"2022-03-24T19:30:00+01:00";30420.801309523813;30420.801309523813;0;0;0;0
"2022-03-24T20:00:00+01:00";29662.49357142857;29662.49357142857;0;0;0;0
"2022-03-24T20:30:00+01:00";29986.69905582923;29986.69905582923;0;0;0;0
"2022-03-24T21:00:00+01:00";29931.80431034482;29931.80431034482;0;0;0;0
"2022-03-24T21:30:00+01:00";30070.411904761906;30070.411904761906;0;0;0;0
"2022-03-24T22:00:00+01:00";30279.50281746032;30279.50281746032;0;0;0;0
"2022-03-24T22:30:00+01:00";30766.05900793651;30766.05900793651;0;0;0;0
"2022-03-24T23:00:00+01:00";30498.449166666665;30498.449166666665;0;0;0;0
"2022-03-24T23:30:00+01:00";30636.57389162562;30636.57389162562;0;0;0;0
"2022-03-25T00:00:00+01:00";30704.36408045977;30704.36408045977;0;0;0;0
"2022-03-25T00:30:00+01:00";30853.016230158726;30852.855357142857;0;0;0;0
"2022-03-25T01:00:00+01:00";50928.8672222222;50928.8672222222;0;0;19511.50865730159;0
"2022-03-25T01:30:00+01:00";31281.409722222223;31281.409722222223;0;0;736.8689468253971;1.8294920634920635
"2022-03-25T02:00:00+01:00";30498.159880952382;30498.159880952382;0;0;0;0
"2022-03-25T02:30:00+01:00";30888.09326765189;30888.09326765189;0;0;0;0
"2022-03-25T03:00:00+01:00";30746.474917898187;30744.312807881768;0;0;0;0
"2022-03-25T03:30:00+01:00";31140.498412698405;31140.498412698405;0;0;0;0
"2022-03-25T04:00:00+01:00";31056.372301587307;31056.372301587307;0;0;0;0
"2022-03-25T04:30:00+01:00";30884.615753968254;30884.615753968254;0;0;0;0
"2022-03-25T05:00:00+01:00";31256.44603174603;31256.44603174603;0;0;0;0
"2022-03-25T05:30:00+01:00";31267.099876847296;31267.099876847296;0;0;0;0
"2022-03-25T06:00:00+01:00";31308.47688834154;31308.47688834154;0;0;0;0
"2022-03-25T06:30:00+01:00";31322.496944444443;31322.496944444443;0;0;0;0
"2022-03-25T07:00:00+01:00";33468.013492063496;33468.013492063496;0;0;0;0
"2022-03-25T07:30:00+01:00";29972.617579365076;29972.617579365076;0;0;0;0
"2022-03-25T08:00:00+01:00";31269.40436507936;31269.40436507936;0;0;0;0
"2022-03-25T08:30:00+01:00";33465.162807881774;33465.162807881774;0;0;0;0
"2022-03-25T09:00:00+01:00";57306.22188013137;57293.68739737275;0;0;0;18.92767487684729
"2022-03-25T09:30:00+01:00";49797.719682539675;49795.66968253967;0;0;0;7.44840595238095
"2022-03-25T10:00:00+01:00";71599.70984126984;66831.01063492063;0;0;0;5161.248800753969
"2022-03-25T10:30:00+01:00";62853.55575396826;62692.65099206349;0;0;0;273.0708474603176
"2022-03-25T11:00:00+01:00";74299.32055555556;61124.751507936504;0;12786.272222222224;0;457.1276207936507
"2022-03-25T11:30:00+01:00";64287.18731527093;60918.42869458128;0;2471.0344827586205;0;761.1699603448274
"2022-03-25T12:00:00+01:00";59018.65845238096;58906.30845238096;0;0;0;51.08384785714286
"2022-03-25T12:30:00+01:00";59174.65492063491;57229.25492063491;0;1882.4;0;103.99752738095236
"2022-03-25T13:00:00+01:00";74571.48507936507;63514.912142857145;0;10778.287222222223;0;202.36921853174596
"2022-03-25T13:30:00+01:00";89834.40571428572;63240.302182539686;0;24926.922182539685;0;1682.529751309524
"2022-03-25T14:00:00+01:00";94252.27064860426;66838.55529556652;0;24479.60533661741;0;2876.5584519293916
"2022-03-25T14:30:00+01:00";86782.12091269842;68238.96484126984;0;14557.194166666666;0;4245.955050555554
"2022-03-25T15:00:00+01:00";85458.30841269842;69145.41753968253;0;13957.362301587302;0;2758.950796904762
"2022-03-25T15:30:00+01:00";88304.76047619047;72954.59384920633;0;8169.517817460319;0;7967.545635079366
"2022-03-25T16:00:00+01:00";78661.0944047619;70946.22051587302;0;5487.2552380952375;0;2638.7295043650793
"2022-03-25T16:30:00+01:00";77336.32861247948;70585.61375205254;0;4129.707799671593;0;2973.1228252873566
"2022-03-25T17:00:00+01:00";70885.62297619047;69748.94837301588;0;0;0;1341.2393119841267
"2022-03-25T17:30:00+01:00";63266.79615079366;63070.8790873016;0;0;0;252.43587079365074
"2022-03-25T18:00:00+01:00";47670.284999999996;47670.284999999996;0;0;0;0
"2022-03-25T18:30:00+01:00";33504.222976190475;33504.222976190475;0;0;0;0
"2022-03-25T19:00:00+01:00";29120.007738095235;29120.007738095235;0;0;0;0
"2022-03-25T19:30:00+01:00";28303.54634646962;28303.54634646962;0;0;0;0
"2022-03-25T20:00:00+01:00";27885.34948412699;27885.34948412699;0;0;0;0
"2022-03-25T20:30:00+01:00";28581.265476190474;28565.871190476188;0;0;0;0
"2022-03-25T21:00:00+01:00";28290.179206349207;28290.179206349207;0;0;0;0
"2022-03-25T21:30:00+01:00";28601.076507936512;28601.076507936512;0;0;0;0
